topic_id,query,facet_id,facet_desc,question,question2_case,answer,history,distractor
39,Give me information about Disneyland hotel.,F0806,What hotels are near Disneyland?,are you looking for directions to a disneyland hotel,similar_yes_no,"Yes, that's exactly what I'm looking for.","[{'question': 'do you want to know how much it costs to stay here', 'answer': 'yes and the name and locations of hotels'}]",i dont know
199,Tell me about fybromyalgia,F0405,What are the primary symptoms or signs of fybromyalgia?,are you looking for a diet to help manage fibromyalgia,repeated,"no, i want to know characteristics of fybromyalgia.","[{'question': 'are you looking for a diet to help manage fibromyalgia', 'answer': 'no i am intereested in the symptoms of fybromyalgia'}]",yes but i also need more general onformation about solar panels too
67,I'm looking for information on VLDL levels,F0933,"What is the difference between LDL, HDL, and VLDL?",would you like a recommendation on nearby doctors who check cholesteral levels,similar_no_no,"No, I need to know the difference between LDL, HDL AND VLDL.","[{'question': 'are you interested in ways to reduce vldl levels', 'answer': 'no i want to know the difference between ldl hdl and vldl'}]",no i am intrested in the sale of arocky mountain news
145,Tell me about vines for shade.,F0178,"ideas on using plant vines to shade an area on or around my house from the sun, like training them on an inexpensive trellis or up a wall or fence",do you want to know where to buy vines for shade,similar_yes_no,"No, I want to know ideas for using them on a trellis.","[{'question': 'do you want to know the best vines for providing shade', 'answer': 'yes i want to know which species of vines would be the best for shade'}]",no
129,Tell me information about Iowa's food stamp program,F0119,Find the homepage for Iowa's Food Assistance Program?,are you referring to a food stamp program that is current or a historical one,repeated,I mean the current food assistance program page,"[{'question': 'are you referring to a food stamp program that is current or a historical one', 'answer': 'i need the current websit of the iowa food assistance program'}]",yes and other ideas on how to celebrate the day
92,Find information about the wall,F1042,"Find information about the movie ""Pink Floyd The Wall"".",would you like to know the rules of the wall game show,similar_yes_no,"No, I want to know about the movie, Pink Floyd the Wall..","[{'question': 'are you looking for a specific movie', 'answer': 'yes am looking for the movie pink floyd the wall'}]",i need illinois state tax forms
140,Information about east ridge high school.,F0165,"information about the sports program at East Ridge High School in Clermont, Florida",are you interested in east ridge high school latest news,similar_no_no,"Specifically, I want to know about the athletic program at East Ridge High in Clermont, Florida.","[{'question': 'do you need directions to east ridge high school', 'answer': 'not related to queryquestion'}]",no i am not looking for biodegradable dog clean up i just want dog clean up bags under 15
76,Find information on raised gardens.,F0967,Find plans for building a raised garden bed.,do you need information on materials needed,repeated,I want what I previoulsy asked for.,"[{'question': 'do you need information on materials needed', 'answer': 'no i want to find plans'}]",i want to kno wthe calorie count of each item
34,Tell me about cell phones.,F0788,Find information on prepaid cell phones. What companies offer them? What kind of phones are available?,are you interested in a specific brand of cell phone,similar_yes_no,"No, only that it's prepaid.","[{'question': 'were you looking for how cell phones work', 'answer': 'yes what companies have prepaid phones and what kind are available'}]",i would like all information available on hpv atypical squamous cells and cervical cancer
115,Tell me about the pacific northwest laboratory.,F0066,"career opportunities at PNL: what openings are currently available, what educational background is required, what prior experience is needed",do you need any specific information about pnl,repeated,Yes I want to know what positions they are hiring for.,"[{'question': 'do you need any specific information about pnl', 'answer': 'yes im looking for information pertaining to careers at pnl'}]",id like to view howw the supreme court has interperated the quote throught the years
150,How can one can become highway patrol,F0197,What are the requirements to become a Tennessee Highway Patrol State Trooper?,are you interested to fill a survey for them,similar_no_no,"No, more so how to actually become a highway patrol state trooper.","[{'question': 'are you interested in how much a patrol officer makes per year', 'answer': 'no i want to know how to become one'}]",no i would like to see some detailed geographic maps
121,Tell me about the sit and reach test.,F0095,How is the sit and reach test properly done?,would you like to know where the test is used in,similar_yes_no,"No, I want to know how to properly perform the test.","[{'question': 'do you want to know how to perform this test', 'answer': 'yes i do'}]",please show me where i can download illionios state tax forms
180,Tell me about hotels in New York.,F0338,I want to book a room in a hotel that's on Times Square in New York City.,do you need direction to your new york hotel,similar_no_no,"Yes, hotels near the Times Square in New Yorks City specifically","[{'question': 'what is your price range', 'answer': 'i dont know the answer to this'}]",no just the brands
26,How can I lower my heart rate?,F0626,How can I lower my heart rate?,do you have any medical conditions,repeated,"I am not sure, can you tell me how to lower my heart rate regardless?","[{'question': 'do you have any medical conditions', 'answer': 'im not sure but can you tell me some general method anyway'}]",yes as well as what products it is levied on
75,Find information about tornadoes,F0964,Find videos and pictures of tornadoes.,would you like historic information,similar_no_no,"Not really, just some recorded media of tornadoes.","[{'question': 'are you looking for information on weather', 'answer': 'no just some pictures and videos'}]",yes i would please include states and their capitals
40,what are the popular jobs in Michigan,F0817,Find career resources and information on job seeking in Michigan.,do you need need information related to unemployed services in michigan,similar_yes_no,"No, I want to see information on jobs.","[{'question': 'can i take you to the resource page at the michworks website', 'answer': 'yes please show me the resources page'}]",no i want to get reviews of the ritz carlton lake las vegas
157,I'm looking for information on the beatles rock band,F0227,What albums did the Beatles release?,do you want a list of their songs,repeated,"No, I'd like the list of Albums they released.","[{'question': 'do you want a list of their songs', 'answer': 'no i want to know the actual album names'}]",no i am looking to achieve it in the workplace and manage it
89,Give me information on OCD.,F1025,Find information about OCD in children and how to identify it.,are you looking for documentaries of people who live with ocd,similar_no_no,"No, I want to know how to identify it in children.","[{'question': 'are you looking for treatment for ocd', 'answer': 'no im looking for general information about ocd and how to identify it in children'}]",yes what tourist attractions are in cass county mo
135,Tell me about source of the nile,F0145,map of the Nile River basin,are you interested in the origin of the nile,similar_yes_no,Yes I need to know what water source flows into the Nile by seeing a map of the Nile River Basin.,"[{'question': 'are you referring to the nile river', 'answer': 'yes the nile river and its basin'}]",yes including the nearby areas of the capitol
168,What are the causes of lipoma tumors,F0280,Which animals are known to present lipomas?,are you looking for the definition to lipoma,repeated,"no, just want to know which animals are susceptible to lipomas.","[{'question': 'are you looking for the definition to lipoma', 'answer': 'no i am looking for animals that get lipomas'}]",i want to know how the phrase all men are created equal has been interpreted by the united states supreme court through out history
198,Tell me more about indiana state fairgrounds.,F0404,Find a map for the Indiana State Fairgrounds.,do you need an event schedule for the indiana state fairgrounds,similar_no_no,I want to see a map of it instead.,"[{'question': 'would you like the history of indiana state fairgrounds', 'answer': 'no im looking for a map of the indiana state fairgrounds'}]",i dont know
172,I'm looking for information on becoming a paralegal,F0302,What ABA-approved certificate programs are there?,do you want to know the responsibilities of a paralegal,repeated,"No, find me information about ABA certificate programs","[{'question': 'do you want to know the responsibilities of a paralegal', 'answer': 'no i want information about aba approve certificate programs'}]",i need to find a hotel near ontario airport in california
140,Information about east ridge high school.,F0165,"information about the sports program at East Ridge High School in Clermont, Florida",are you looking for east ridge high school in woodbury mn,similar_yes_no,"No, the one in Clermont, FL and I need the sports program information website.","[{'question': 'are you searching for east ridge high school located in clermont fl', 'answer': 'yes'}]",yes im looking for free tutorials about setting up a diversity program
23,What is yahoo,F0530,"Find information about Yahoo!, the company.",are you referring to a crazy person,similar_no_no,Find information about Yahoo!,"[{'question': 'are you referring to the insane person across the street', 'answer': 'no i want information about yahoo'}]",yes how to install
78,I'm looking for information on dieting,F0979,Find recommendations for dieting and exercising.,do you want to learn about the history of dieting,similar_yes_no,i want to know recommendations on what i should do for a diet and exercise,"[{'question': 'are you looking for dieting that involves no medications', 'answer': 'yes and i am looking for other dieting methods'}]",no i am interested in computer memory
76,Find information on raised gardens.,F0970,Find photos of raised garden beds.,what specific supply would you like to buy for your raised garden,repeated,No I'm just looking for photos of raised garden beds.,"[{'question': 'what specific supply would you like to buy for your raised garden', 'answer': 'none'}]",i dont know
138,I'm looking for information on jax chemical company,F0152,contact information for Jax Chemical Company,do you need product information,similar_yes_no,"No, I only need contact information.","[{'question': 'do you need info on jax chemical company', 'answer': 'yes specifically for contacting them'}]",yes along with other major battles
72,Find information about the sun.,F0955,Find the homepage for the Baltimore Sun newspaper.,are you interested in the suns life cycle,similar_no_no,"no, I am looking for the website for a newspaper. It is called The Baltimore Sun","[{'question': 'are you looking for how long it takes light from the sun to get to the earth', 'answer': 'no i am trying to find the website for the newspaper baltimore sun'}]",no i am looking for thing to do in cass county mo
61,I’m looking for information on worm,F0909,Find information about the Conficker worm.,do you want to know how many different types of worms there are,repeated,"No, I'm interested in a computer worm called conflicker.","[{'question': 'do you want to know how many different types of worms there are', 'answer': 'no i want information specifically about the conflicker worm'}]",yes promo coupons
88,Where can I find information about forearm pain?,F1019,Find information about tendinitis in the forearms.,are you worried your forearm pain means you have a broken bone,similar_no_no,No I just want general info on tendinitis in the forearm.,"[{'question': 'are you looking for causes of forearm pain', 'answer': 'no i need information specifically on tendinitis'}]",im looking for dog waste bags that are biodegradable
97,I'm looking for information about South Africa,F1058,Find maps of South Africa.,are you moving to south africa,similar_yes_no,No. I just wnat to see maps.,"[{'question': 'do you want a map of south africa', 'answer': 'yes'}]",when is the kentucky derby
178,How to cook pork tenderlion,F0326,How do I grill a pork tenderloin on a gas grill?,do you need to cook a pork tenderloin,repeated,"Yes, I'd like to cook on a gas grill.","[{'question': 'do you need to cook a pork tenderloin', 'answer': 'yes on a gas grill'}]",yes i am looking for illinois state tax forms
198,Tell me more about indiana state fairgrounds.,F0402,Find driving directions to the Indiana State Fairgrounds.,do you need an event schedule for the indiana state fairgrounds,similar_yes_no,I need driving directions,"[{'question': 'do you need directions to the indiana state fairgrounds', 'answer': 'yes i would like driving directions to the indiana state fairgrounds'}]",no im not
78,I'm looking for information on dieting,F0979,Find recommendations for dieting and exercising.,are you looking for dieting tips,repeated,Yes tips and recommendations.,"[{'question': 'are you looking for dieting tips', 'answer': 'yes and exercise tips as well'}]",no id like to know more information about the fruit
172,I'm looking for information on becoming a paralegal,F0301,What training is required to become a paralegal?,are you looking for a specific web page,similar_no_no,I just want to know about requirements to be a paralegal.,"[{'question': 'do you want to know colleges in your area where you can study to be a paralegal', 'answer': 'no i am looking for training requirements'}]",no i am interested in arts and crafts
69,Find sewing instructions for me,F0942,Find materials for teaching sewing to children.,using needle and thread or a sewing machine,similar_yes_no,please fine materials for teaching a child to use a sewing machine.,"[{'question': 'would you like instructions on how to use a sewing machine', 'answer': 'yes but for teaching it to children'}]",yes the ritz carlton located in lake las vegas for directions
131,What is equal opportunity employer?,F0131,Find the homepage of the Equal Employment Opportunity Commission.,would you like to know the history of the equal opportunity employer act,similar_no_no,"no, i just need the homepage url","[{'question': 'are you looking for specific information regarding an equal opportunity employer', 'answer': 'no i want to find the homepage of the eeoc'}]",i am interested in the citys historical background
60,Tell me about Bellevue.,F0904,Find the homepage of Bellevue University.,would you like to see notable residents of bellevue washington,repeated,"no, do you have the homepage of bellevue university?","[{'question': 'would you like to see notable residents of bellevue washington', 'answer': 'no take me to the bellevue university homepage'}]",no i am trying to understand more about cultural diversity and prejudice
112,Is Kenmore heater good,F0059,retailers of and price information for Kenmore gas water heaters,are you troubleshooting or trying to repair the unit,similar_yes_no,i want to know who sells kenmore gas water heaters and how much they are.,"[{'question': 'are you iinterested in a kenmore gas water heater', 'answer': 'yes i need to know the price information for the kenmore gas water heaters'}]",no i am looking for information about degree programs
93,Information about raffles,F1043,Find the homepage of Raffles Hotel in Singapore.,are you looking for raffle tickets in your area to purchase,similar_no_no,"No, I want know know about the Raffles Hotel.","[{'question': 'are you interested in buying tickets to a raffle', 'answer': 'no i want to know about the singapore hotel called raffles'}]",no i want to know more about the kiwi bird
87,who invented music,F1013,Find information on the history of rock and roll music.,do you want information on the person who invented music,repeated,Find information on the history of rock and roll music.,"[{'question': 'do you want information on the person who invented music', 'answer': 'no i am looking for the history of rock music'}]",i dont know
149,Tell me about uplift at yellowstone national park,F0190,information on ground elevation changes and movement resulting from ongoing low-level geothermal activity at Yellowstone National Park,what makes people think the yellowstone volcano will erupt soon,similar_yes_no,Recent information on the elevation of the ground in the yellowstone national park,"[{'question': 'can i tell you about the north american plate that moves causing the eventual destruction of the volcano in yellowstone park', 'answer': 'yes please'}]",no not really
14,I'm interested in dinosaurs,F0161,"I want to find pictures of dinosaurs that I can color in, as in a coloring book.",are you interested in home decor items that are dinosaur related,repeated,"no, I want what I said before.","[{'question': 'are you interested in home decor items that are dinosaur related', 'answer': 'no i need coloring books that are dinosaur related'}]",no i want to see reviews on the pampered chefs programs products and recipes
105,Tell me about sonoma county medical services.,F0025,"What medical services are available in Sonoma County, California?",is this for an emergancy,similar_yes_no,"I am not sure, I would like the more general information.","[{'question': 'do you want information on the differenct services that are provided', 'answer': 'yes'}]",no i am looking for flight information for the airport
92,Find information about the wall,F1039,"Where can I buy Pink Floyd's album, ""The Wall""?",are you looking for a specific movie,similar_no_no,"No, I'm looking for the music album, The Wall, by Pink Floy.","[{'question': 'do you neeed dry wall products', 'answer': 'no im looking for the album the wall by pink floyd'}]",no i just need to find some information
60,Tell me about Bellevue.,F0903,"Find information about Bellevue Hospital Center in New York, NY.",are you looking for a hospital in new york ny,repeated,Yes Bellevue Hospital in Manhattan NY,"[{'question': 'are you looking for a hospital in new york ny', 'answer': 'yes information on bellevue hospital new york ny'}]",no i want to find out about careers for computer programmers
161,Tell me about furniture for small spaces.,F0251,How important is the scale of furniture in small spaces?,have you got any specific question regarding furniture size,similar_no_no,Yes I want to know if size and scale is important.,"[{'question': 'are you interesting in buying furniture', 'answer': 'no i am interested in the scale of furniture in small spaces not buying furniture'}]",no i want to know where i can purchase replacement parts for pressure washers
171,Tell me about ron howard.,F0298,Find biographical information on director Ron Howard.,do you want to know more about ron howards directing career,similar_yes_no,"I'd like some biographical information on him, actually.","[{'question': 'are you interested in ron howards life story and career highlights', 'answer': 'yes'}]",maybe i want to find reviews about it first
34,Tell me about cell phones.,F0787,What free phones are available from different vendors?,did you want to know what the most popular cell phones are,repeated,"no, which offers free phones","[{'question': 'did you want to know what the most popular cell phones are', 'answer': 'no id like to know about free phones specifically'}]",yes
93,Information about raffles,F1043,Find the homepage of Raffles Hotel in Singapore.,would you like to book a room in raffles hotel in dubai,similar_no_no,"Not yet, I just want to see the homepage of the hotel.","[{'question': 'are you looking for raffle tickets in your area to purchase', 'answer': 'no the raffles hotel'}]",i dont know
211,What is Madagascar known for?,F0467,What is Madagascar known for?,would you like to know what they are known for exporting,similar_yes_no,I just want general information of what madagascar is known for.,"[{'question': 'are you looking for tourist attractions in madagascar', 'answer': 'yes and id like to know what it is known for'}]",no i need to know the common name for angular cheilitis
42,I’m looking for the music man.,F0822,Find lyrics for songs from The Music Man.,do you want to know the cast of the music man,similar_yes_no,"Not the cast, I'm interested in knowing which songs are in The Music Man.","[{'question': 'are you looking for lyrics from the songs from the music man', 'answer': 'yes i am'}]",yes specifically what are the degree requirements for a typical cs program
4,How to change the toilet in the house,F0814,What companies manufacture bidets?,what brand is your toilet,repeated,"My toilet is not a bidet, I want to know which companies make bidets.","[{'question': 'what brand is your toilet', 'answer': 'i want to know which companies make bidets'}]",no i want a photograph
140,Information about east ridge high school.,F0164,"home page for East Ridge High School in Chattanooga, Tennessee",do you need directions to east ridge high school,similar_yes_no,"No, I want to see the homepage.","[{'question': 'are you seaching for east ridge high school community education', 'answer': 'yes i am'}]",no i am looking for poems written for the day
70,to be or not to be that is the question,F0947,Find famous quotes from Shakespeare's plays.,are you talking about a psychology course,similar_yes_no,No show me some famous quotes that come from Shakespeare's most famous plays.,"[{'question': 'do you want to know where the quote came from', 'answer': 'yes i want some background of all shakespeare quotes'}]",id like to view howw the supreme court has interperated the quote throught the years
121,Tell me about the sit and reach test.,F0093,"Find out what the ""sit and reach test"" is.",do you want to purchase a box to measure with,repeated,"no, what is the sit and reach test actually?","[{'question': 'do you want to purchase a box to measure with', 'answer': 'no'}]",yes on a pap smear test
98,Find me information on sat,F1061,Find general information about the SATs.,what would you like to schedule for saturday,similar_no_no,I am not interested in scheduling.,"[{'question': 'are you searching for your sat scores', 'answer': 'no i want general information about sat scores'}]",no i am looking for famous generals who fought in the united states civil war
228,Tell me more about Hawain volcanos,F0525,I am looking for the history of and a summary of the work performed at the Hawaiian Volcano Observatories.,do you want a list of all the volcano observatories in hawaii,similar_yes_no,"Sure, but I also want to know their history and the summary of work they perform.","[{'question': 'would you like to know the histories of the observatories', 'answer': 'yes'}]",no i am looking for poems that were written for poem in your pocket day
130,What are characteristics of Uranus,F0127,"Find information on Uranus suitable for elementary-to-middle school students, such as lesson content or interactive sites.",are you wondering what probe visited uranus,similar_yes_no,"Yes, especially how long it took to get there.","[{'question': 'do you want to know how old it is estimated to be', 'answer': 'yes and some other general information about the planet'}]",just the home page of the website
81,Tell me about Afganistan.,F0993,Find information about the war in Afghanistan.,do you want to know about the wars fought in afghanistan,repeated,"I would, yes.","[{'question': 'do you want to know about the wars fought in afghanistan', 'answer': 'yes'}]",yes
148,What is martha stewart and imclone?,F0187,opinions regarding the insider trading case brought against Martha Stewart,are you looking for a specific web site,similar_no_no,Sure if it has opinions about the Martha Stewart case.,"[{'question': 'are you looking for specific information about martha stewart and imcones age', 'answer': 'no im looking for opinions regarding martha stewarts insider trading case'}]",yes i would need very detailed information on a map of the united states
28,I'm interested in InuYasha,F0700,I'm looking for InuYasha fan forums and websites.,would you like to know more about the inuyasha illustrator and writer,similar_yes_no,"Yes, that would be great.","[{'question': 'are you interested in inuyasha wiki activity', 'answer': 'yes am interested in inuyasha wiki activity'}]",maybe can you just tell me how they it works for now
12,how to hire disc jockey,F0088,What jobs are available for disc jockeys?,do you need to book a dj for an event,repeated,"No, I'm interested in having a career as a DJ.","[{'question': 'do you need to book a dj for an event', 'answer': 'no i want to become one'}]",no
96,tell me about rice?,F1056,What is the nutritional value of white rice?,do you want to know the country where rice was created,similar_yes_no,"no, i want to know the nutritional value.","[{'question': 'are you looking for a specific type of rice', 'answer': 'yes white rice'}]",no i would like demographic information
2,Find information on French Lick Resort and Casino.,F0409,Are there discounted packages for staying at French Lick Resort and Casino?,would you like to see resorts and casinos in the french lick area,similar_no_no,"No, I want to know if there are discounted packages available if I stay at the French Lick Resort and Casino.","[{'question': 'would you like to be hired by french lick casino and resort', 'answer': 'no i want to see what kind of discounted packages there are at the french lick resort and casino'}]",no i want to find a streetlevel map of hoboken
4,How to change the toilet in the house,F0812,Where can I buy parts for American Standard toilets?,are you looking for toilet cleaners,similar_yes_no,"No, I look for stores that have parts of toilets","[{'question': 'are you looking for specific products related to toilets', 'answer': 'yes i want a list of parts stores'}]",no i would like to know more about the land rover suv
134,Tell me about electronic skeet shoot.,F0141,retailers selling electronic skeet shooting games with price information,do you want to know what electronic skeet shoot is,repeated,no i want to know which retailers sell electronic skeet shooting games,"[{'question': 'do you want to know what electronic skeet shoot is', 'answer': 'no i want to look at retailers selling electronic skeet shooting games'}]",yes i am looking for pictures of horse hooves
115,Tell me about the pacific northwest laboratory.,F0070,Who operates (manages) PNL?,are you looking for a specific web site,similar_no_no,Pnl website,"[{'question': 'are you looking for a specific representative in relation to the company', 'answer': 'no i am trying to determine who runs the pacific northwest lab'}]",i am interested in the television show star trek voyager
90,tell me about mgb,F1034,Find information on mini gastric bypass surgery.,are you looking for what mgb stands for,similar_yes_no,no i want to know more about mini gastric bypass surgery,"[{'question': 'are you looking for more information about mgb', 'answer': 'yes'}]",no i want to know how they live in india
69,Find sewing instructions for me,F0941,Find helpful sewing tips for beginners.,would you like a book about sewing,similar_no_no,"no, just give me tips for beginners","[{'question': 'would you like to know how to sew on a button', 'answer': 'no i want helpful hints for sewing beginners'}]",no i want an online list of computer programming tutorials
185,How do I get my free annual credit report?,F0359,How is a credit score determined?,are you interested in learning how to read your credit report,repeated,Yeah that would be nice but I also need helping with figuring out the factors that determine it.,"[{'question': 'are you interested in learning how to read your credit report', 'answer': 'partially but can you also explain how it is determined'}]",i want to find about about the migration patterns of the bluethroated hummingbird wherever they are
1,Tell me about Obama family tree.,F0002,Where did Barack Obama's parents and grandparents come from?,are you interested in seeing barack obamas family,similar_yes_no,"Yes, I want more information about them","[{'question': 'would you like to know about obamas ancestors', 'answer': 'yes particualarly information about his parents and grandparents'}]",yes
183,Tell me about kansas city mo,F0350,"What casinos are in Kansas City, Missouri?",would you like to directions to kansas city,repeated,I want to know about the casinos there.,"[{'question': 'would you like to directions to kansas city', 'answer': 'no'}]",no i want flight information not ammenity information
86,tell me about bart sf,F1009,Find maps of the BART system.,are you looking for bart travel schedules,similar_no_no,Not travel schedules. I just want to see the maps.,"[{'question': 'are you looking for contact info in relation to bart sf', 'answer': 'no i am interested in bart system maps'}]",i just need the general history of life and culture
239,Let's see frank lloyd wright biography,F0553,Find biographical information for Frank Lloyd Wright.,would you like a list of the best biographies for frank lloyd wright,similar_yes_no,Not really. I just want to know his biological information.,"[{'question': 'would you like to read some of frank lloyd wrights writings', 'answer': 'yes writings about his personal life'}]",no i want a map of it
33,Find information about elliptical trainer,F0785,What are the benefits of an elliptical trainer compared to other fitness machines?,do you want more information about the benefits of an elliptical trainer,repeated,"Yes, in comparison to other machines.","[{'question': 'do you want more information about the benefits of an elliptical trainer', 'answer': 'yes i would like to know more'}]",i dont know
16,I'm looking for information about game and fish in Arizona.,F0238,Take me to the Arizona Game and Fish Department homepage.,do you want to get a hunting or fishing license in arizona,similar_no_no,"I am not sure, but I would like to go to the homepage.","[{'question': 'would you like the arizona state fish and game comissions contact information', 'answer': 'no i want to go to the arizona state fish and game comissions homepage'}]",yes
151,What is a 403b?,F0201,What is a 403b plan?,would you like to know more about a 403b retirement account,repeated,"Yes, I would like all the details and pricing for the 403b plan.","[{'question': 'would you like to know more about a 403b retirement account', 'answer': 'yes i want to know what the plan is'}]",i dont know
40,what are the popular jobs in Michigan,F0816,What jobs are available in Michigan?,can i take you to the resource page at the michworks website,similar_no_no,"Yes, that sounds like a good resource to start.","[{'question': 'do you need need information related to unemployed services in michigan', 'answer': 'no just the available jobs'}]",only information on nanotechnological
173,Find information on hip fractures,F0305,Find information on hip fractures in the elderly.,were you looking for the causes of hip fractures,repeated,"Yes, specifically what causes hip factures in the elderly.","[{'question': 'were you looking for the causes of hip fractures', 'answer': 'i dont know if i am looking for the cause of hip fractures i am looking for general information'}]",no i am looking for general information about cass county missouri
151,What is a 403b?,F0203,What are the rules for a 403b retirement plan?,would you like to see alternative retirement accounts,similar_yes_no,"No, I want to see them for the 403b.","[{'question': 'are you looking for withdrawal rules for 403b plan', 'answer': 'yes and other relevant rules'}]",yes and specifically the spacecraft and missions
21,Tell me information about Volvo.,F0459,Find a Volvo dealer.,are you interested in who is the ceo,similar_no_no,"No, I would like to find a Volvo car dealership.","[{'question': 'are you asking what year the company originated', 'answer': 'no i am just looking for a dealer'}]",no i want to find reports of problems with windows defender
94,Give me information about Titan.,F1051,"Find information about Saturn's moon, Titan.",are you interested in a specific titan,repeated,"No, I'm interested in Satur's moon, Titan.","[{'question': 'are you interested in a specific titan', 'answer': 'yes i am specifically interested in saturns moon'}]",im trying to get a road map of brazil
144,where can I buy a trombone?,F0176,good places to sell a used trombone,are you interested in the price range for trombones,similar_yes_no,No I just want to know where to sell one.,"[{'question': 'are you interested in selling a trombone you own', 'answer': 'yes'}]",no i am interested in whether they can prediect cervical cancer
138,I'm looking for information on jax chemical company,F0155,Who are retailers that sell Jax Chemical Company's Green Patina solution?,do you need contact information,repeated,Yes.,"[{'question': 'do you need contact information', 'answer': 'no i need to know which retailers sell their jax chemical companies green patrina solution'}]",if it is canadian then yes irregardless im looking at ways people honour poem in your pocket day
39,Give me information about Disneyland hotel.,F0807,Find information on package deals from hotels near Disneyland.,do you want the address,similar_yes_no,"Not really, I want to know more general information about package deals.","[{'question': 'do you want to know how much it costs to stay here', 'answer': 'yes and information on package deals'}]",no i am looking for the history of hoboken
177,what is the best long term care insurance,F0319,What are the different types of long term care insurance policies?,do you plan to sign up for coverage online,similar_no_no,"That's not  important, I want info on the different types of policies.","[{'question': 'would you like to buy a book on the best types of best long term insurances and learn more about it', 'answer': 'no what are the different types of long term care insurance policies'}]",yes i want to know information about horses hooves and how to care for them
99,Tell me more about satilies,F1065,Find background information about man-made satellites.,do you want to know about natural or artificial satellites,repeated,"I want to know about man-made, artificial satellites.","[{'question': 'do you want to know about natural or artificial satellites', 'answer': 'i am interested on information about manmade satellites'}]",no im looking for reviews
159,Find information on Porterville.,F0234,"What colleges or post-secondary institutions are in Porterville, CA?",are you looking to move here,similar_yes_no,No just the colleges located there.,"[{'question': 'are you looking for a specific place here', 'answer': 'yes colleges and postsecondary institutions'}]",i am interested in learning more about the disease itself rather than someone with the disease
